
product_name,model_number,price,page_yield,compatible_models,affiliate_url
HP 951 Cyan Ink Cartridge,CN046AN,,700,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN046AN&tag=easyproduc07b-20
HP 951 Magenta Ink Cartridge,CN047AN,,700,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN047AN&tag=easyproduc07b-20
HP 951 Yellow Ink Cartridge,CN048AN,,700,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN048AN&tag=easyproduc07b-20
HP 951XL Cyan Ink Cartridge,CN046AN,,1500,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN046AN&tag=easyproduc07b-20
HP 951XL Magenta Ink Cartridge,CN047AN,,1500,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN047AN&tag=easyproduc07b-20
Canon PG-245 Black Ink Cartridge,PG-245,,180,Canon PIXMA MG2522; Canon PIXMA MG2920; Canon PIXMA MX490; Canon PIXMA TS302; Canon PIXMA TR4520,https://www.amazon.com/s?k=PG-245&tag=easyproduc07b-20
Canon PG-245XL Black Ink Cartridge,PG-245XL,,300,Canon PIXMA MG2522; Canon PIXMA MG2920; Canon PIXMA MX490; Canon PIXMA TS302; Canon PIXMA TR4520,https://www.amazon.com/s?k=PG-245XL&tag=easyproduc07b-20
Canon CL-246 Tri-Color Ink Cartridge,CL-246,,180,Canon PIXMA MG2522; Canon PIXMA MG2920; Canon PIXMA MX490; Canon PIXMA TS302; Canon PIXMA TR4520,https://www.amazon.com/s?k=CL-246&tag=easyproduc07b-20
Canon CL-246XL Tri-Color Ink Cartridge,CL-246XL,,300,Canon PIXMA MG2522; Canon PIXMA MG2920; Canon PIXMA MX490; Canon PIXMA TS302; Canon PIXMA TR4520,https://www.amazon.com/s?k=CL-246XL&tag=easyproduc07b-20
Epson 252 Black Ink Cartridge,T252120,,350,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252120&tag=easyproduc07b-20
Epson 252 Cyan Ink Cartridge,T252220,,300,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252220&tag=easyproduc07b-20
Epson 252 Magenta Ink Cartridge,T252320,,300,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252320&tag=easyproduc07b-20
Epson 252 Yellow Ink Cartridge,T252420,,300,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252420&tag=easyproduc07b-20
Epson 252XL Black Ink Cartridge,T252XL120,,1100,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252XL120&tag=easyproduc07b-20
Epson 252XL Cyan Ink Cartridge,T252XL220,,1100,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252XL220&tag=easyproduc07b-20
Epson 252XL Magenta Ink Cartridge,T252XL320,,1100,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252XL320&tag=easyproduc07b-20
Epson 252XL Yellow Ink Cartridge,T252XL420,,1100,Epson WorkForce WF-3620; Epson WorkForce WF-3640; Epson WorkForce WF-7110; Epson WorkForce WF-7210; Epson WorkForce WF-7720,https://www.amazon.com/s?k=T252XL420&tag=easyproduc07b-20
Epson 220 Black Ink Cartridge,T220120,,175,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220120&tag=easyproduc07b-20
Epson 220 Cyan Ink Cartridge,T220220,,165,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220220&tag=easyproduc07b-20
Epson 220 Magenta Ink Cartridge,T220320,,165,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220320&tag=easyproduc07b-20
Epson 220 Yellow Ink Cartridge,T220420,,165,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220420&tag=easyproduc07b-20
Epson 220XL Black Ink Cartridge,T220XL120,,500,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220XL120&tag=easyproduc07b-20
Epson 220XL Cyan Ink Cartridge,T220XL220,,450,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220XL220&tag=easyproduc07b-20
Epson 220XL Magenta Ink Cartridge,T220XL320,,450,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220XL320&tag=easyproduc07b-20
Epson 220XL Yellow Ink Cartridge,T220XL420,,450,Epson XP-420; Epson XP-320; Epson WF-2630; Epson WF-2650; Epson WF-2660,https://www.amazon.com/s?k=T220XL420&tag=easyproduc07b-20
Epson 288 Black Ink Cartridge,T288120,,175,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288120&tag=easyproduc07b-20
Epson 288 Cyan Ink Cartridge,T288220,,165,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288220&tag=easyproduc07b-20
Epson 288 Magenta Ink Cartridge,T288320,,165,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288320&tag=easyproduc07b-20
Epson 288 Yellow Ink Cartridge,T288420,,165,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288420&tag=easyproduc07b-20
Epson 288XL Black Ink Cartridge,T288XL120,,500,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288XL120&tag=easyproduc07b-20
Epson 288XL Cyan Ink Cartridge,T288XL220,,450,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288XL220&tag=easyproduc07b-20
Epson 288XL Magenta Ink Cartridge,T288XL320,,450,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288XL320&tag=easyproduc07b-20
Epson 288XL Yellow Ink Cartridge,T288XL420,,450,Epson XP-330; Epson XP-340; Epson XP-430; Epson XP-440; Epson XP-446,https://www.amazon.com/s?k=T288XL420&tag=easyproduc07b-20
Epson 812 Black Ink Cartridge,T812120,,350,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812120&tag=easyproduc07b-20
Epson 812 Cyan Ink Cartridge,T812220,,300,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812220&tag=easyproduc07b-20
Epson 812 Magenta Ink Cartridge,T812320,,300,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812320&tag=easyproduc07b-20
Epson 812 Yellow Ink Cartridge,T812420,,300,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812420&tag=easyproduc07b-20
Epson 812XL Black Ink Cartridge,T812XL120,,1100,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812XL120&tag=easyproduc07b-20
Epson 812XL Cyan Ink Cartridge,T812XL220,,1100,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812XL220&tag=easyproduc07b-20
Epson 812XL Magenta Ink Cartridge,T812XL320,,1100,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812XL320&tag=easyproduc07b-20
Epson 812XL Yellow Ink Cartridge,T812XL420,,1100,Epson EC-C7000; Epson WF-7310; Epson WF-7820; Epson WF-7840,https://www.amazon.com/s?k=T812XL420&tag=easyproduc07b-20
Brother TN660 Black Toner Cartridge,TN660,,2600,Brother HL-L2340DW; Brother HL-L2300D; Brother HL-L2360DW; Brother MFC-L2700DW; Brother MFC-L2740DW,https://www.amazon.com/s?k=TN660&tag=easyproduc07b-20
Brother TN760 Black Toner Cartridge,TN760,,3000,Brother DCP-L2550DW; Brother HL-L2325DW; Brother HL-L2350DW; Brother HL-L2370DW; Brother HL-L2390DW,https://www.amazon.com/s?k=TN760&tag=easyproduc07b-20
Brother TN223 Black Toner Cartridge,TN223BK,,1400,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3710CW,https://www.amazon.com/s?k=TN223BK&tag=easyproduc07b-20
Brother TN223 Cyan Toner Cartridge,TN223C,,1300,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3710CW,https://www.amazon.com/s?k=TN223C&tag=easyproduc07b-20
Brother TN223 Magenta Toner Cartridge,TN223M,,1300,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3710CW,https://www.amazon.com/s?k=TN223M&tag=easyproduc07b-20
Brother TN223 Yellow Toner Cartridge,TN223Y,,1300,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3710CW,https://www.amazon.com/s?k=TN223Y&tag=easyproduc07b-20
Brother TN227 Black Toner Cartridge,TN227BK,,3000,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3750CDW,https://www.amazon.com/s?k=TN227BK&tag=easyproduc07b-20
Brother TN227 Cyan Toner Cartridge,TN227C,,2300,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3750CDW,https://www.amazon.com/s?k=TN227C&tag=easyproduc07b-20
Brother TN227 Magenta Toner Cartridge,TN227M,,2300,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3750CDW,https://www.amazon.com/s?k=TN227M&tag=easyproduc07b-20
Brother TN227 Yellow Toner Cartridge,TN227Y,,2300,Brother HL-L3210CW; Brother HL-L3230CDW; Brother HL-L3270CDW; Brother HL-L3290CDW; Brother MFC-L3750CDW,https://www.amazon.com/s?k=TN227Y&tag=easyproduc07b-20
Brother LC203 Black Ink Cartridge,LC203BK,,550,Brother MFC-J4320DW; Brother MFC-J4420DW; Brother MFC-J4620DW; Brother MFC-J5520DW; Brother MFC-J5720DW,https://www.amazon.com/s?k=LC203BK&tag=easyproduc07b-20
Brother LC203 Cyan Ink Cartridge,LC203C,,550,Brother MFC-J4320DW; Brother MFC-J4420DW; Brother MFC-J4620DW; Brother MFC-J5520DW; Brother MFC-J5720DW,https://www.amazon.com/s?k=LC203C&tag=easyproduc07b-20
Brother LC203 Magenta Ink Cartridge,LC203M,,550,Brother MFC-J4320DW; Brother MFC-J4420DW; Brother MFC-J4620DW; Brother MFC-J5520DW; Brother MFC-J5720DW,https://www.amazon.com/s?k=LC203M&tag=easyproduc07b-20
